,place_api_company_name,bovag_matched_name,bovag_matched_name_score,place_api_address,bovag_matched_address,bovag_matched_address_score,formatted_phone_number,Bovag_Matched_Telephone,Bovag_Matched_Telephone_score,overall_similarity_score,formatted_address,place_id,plus_code,rating,reference,scope,types,user_ratings_total,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,opening_hours,permanently_closed,price_level,photos,kvk_search_text,kvk_tradename,kvk_partnership_name,kvk_chamber_of_commerce,kvk_establishment_no,kvk_Address,kvk_other,Reviews,poitive_reviews,negative_reviews,duplicate_location,irregularities,duplicates_found,Bovag_registered,KVK_found,company_ratings
120,yourvehicle,car company van oevelen,0.294117647,kerketuinenweg 2,Prins Reinierstraat 8 ,0.210526316,085 060 8898,06-53408649,0,0.168214654,"Kerketuinenweg 2, 2544 CW Den Haag, Netherlands",ChIJS_ZF2rSxxUcRVHR3ZZ2Mxl8,"{'compound_code': '3725+QQ The Hague, Netherlands', 'global_code': '9F463725+QQ'}",4.4,ChIJS_ZF2rSxxUcRVHR3ZZ2Mxl8,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",7,OPERATIONAL,"{'location': {'lat': 52.0519108, 'lng': 4.259460199999999}, 'viewport': {'northeast': {'lat': 52.05346408029149, 'lng': 4.260575230291503}, 'southwest': {'lat': 52.05076611970849, 'lng': 4.257877269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,Null,JouwVoertuig,JOUWVOERTUIG,JOUWVOERTUIG,77350944,45057273,Bussumsestraat 100 2574JN s-Gravenhage,77350944 0000 000045057273 JOUWVOERTUIG Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden) Handel in en reparatie van personenautos en ...,"['Scammer they are selling broken cars', 'Top car company Here I traded in my car for a sleek BMW Were on time neatly helped all questions were answered neatly Top service thanks again ', 'Very satisfied with the purchase of my new car The gentlemen provided good service and were very friendly The sale went smoothly and I got the car for a reasonable price', 'Extensively tested the car first Wasnt a problemThe car was technically in order Outwardly a light spot that has been honestly told in advance Thats why I recommend this company You get your moneys worth', 'Super happy with my new car I am well advised with a personal approach They really take the time for their customers and explain everything well and clearly']",4,1,Null,Yes,No,No,Yes,Yes
121,butcher automaterialen b.v.,butcher car company,0.565217391,silver street 27,Poortdijkstraat 63 ,0.342857143,0800 3535035,111691344,0,0.302691511,"Zilverstraat 27, 2544 EJ Den Haag, Netherlands",ChIJwT-0shSxxUcRTZm5J4aWm98,"{'compound_code': '3725+8F The Hague, Netherlands', 'global_code': '9F463725+8F'}",3.2,ChIJwT-0shSxxUcRTZm5J4aWm98,GOOGLE,"['car_repair', 'point_of_interest', 'store', 'establishment']",12,OPERATIONAL,"{'location': {'lat': 52.05076949999999, 'lng': 4.258669900000001}, 'viewport': {'northeast': {'lat': 52.0520079302915, 'lng': 4.260202530291503}, 'southwest': {'lat': 52.0493099697085, 'lng': 4.257504569708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,{'open_now': True},Null,Null,Null,Slager Automaterialen B.v.,Fource Automotive | Slager Automaterialen | Autovoordeelshop.nl,Null,14040558,16713877,Labradoriet 300 3316KB Dordrecht Nevenvestiging Gaagstraat 6 3044BE Rotterdam Nevenvestiging Zilverstraat 27 2544EJ s-Gravenhage Nevenvestiging Buys Ballotstraat 3 4207HT Gorinchem Nevenvestiging Pottumstraat 17 3088GP Rotterdam Nevenvestiging,14040558 0046 000016713877 automaterialen ; Fource Automotive Slager  Automaterialen Fource Automotive B.V. Groothandel en handelsbemiddeling in auto-onderdelen en ... 14040558 0048 000028765249 automaterialen ; Fource Automotive Slager  Automaterialen Fource Automotive B.V. Groothandel en handelsbemiddeling in auto-onderdelen en ... 14040558 0040 000016713761 automaterialen Fource Automotive Slager  Automaterialen Fource Automotive B.V. Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires ... 14040558 0044 000016713850 automaterialen ; Fource Automotive Slager  Automaterialen Fource Automotive B.V. Groothandel en handelsbemiddeling in auto-onderdelen en ... 14040558 0043 000016713842 automaterialen ; Fource Automotive Slager  Automaterialen Fource Automotive B.V. Groothandel en handelsbemiddeling in auto-onderdelen en ...,"['Always friendly and a beautiful shop Please note this shop has been rebranded for a few months now ForzeHes still thereGet my car stuff here often', 'Well helped and quickly arranged parts were delivered the same day', 'I needed four spark plugs and an ignition coil To do this I called the 0800 number which then I suspect put me through to the branch based on my zip codeContrary to expectations Good morning  you speak with  how can I help you but with with  Anyway straight to the point I indicated what I needed and I answer concretely spark plugs are still enough and three more ignition coilsArrived on location within two hours outside the employees are busy loading the vans and inside the customers are helped and there is a cozy atmosphere even though everyone is at workIt was my turn next and I was helped immediately At that time there was still 1 ignition coil in stock two less than indicated I understand that several customers walk into the store and that garages in the area also order parts from them so it is possible that 2 ignition coils have been bought in less than an hour and a halfThe costs for the spark plugs are much higher than you can find them on the internet The FQR8LEU2 Bosch costs 908 euros each while these can be ordered online for 400  450 44 cheaper even with shipping costs you are cheaper The cost for the ignition coil was about 10870 euros and available on the internet for 6977 euros 36 cheaperIf I had ordered the same parts from for example auto parts24 with 995 euros shipping costs I would have saved 4611 euros But on the other hand I need it now and that it can be picked up somewhere immediately may also cost a bit but a little less', 'Fun license plate printed within 2 minutesWhat a service', 'Called today about info opening hours and articleAccording to the operator the product would be in stock at the location in questionUpon arrival the product turned out to be out of stockRidden completely for nothingI was able to go to Naaldwijk but I did not make it in timeDo think that people can be  become a bit more customerfriendly also for private sales']",2,3,Null,Yes,No,No,Yes,Yes
122,fani auto's garage,a.t. auto's b.v.,0.529411765,silver street 52,Bedrijvenweg 18 a,0.303030303,06 33449596,071-5410874,0,0.277480689,"Zilverstraat 52, 2544 EL Den Haag, Netherlands",ChIJg6aXiLyxxUcRX76DouifDlU,"{'compound_code': '27X5+R5 The Hague, Netherlands', 'global_code': '9F4627X5+R5'}",4.6,ChIJg6aXiLyxxUcRX76DouifDlU,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",12,OPERATIONAL,"{'location': {'lat': 52.0496057, 'lng': 4.257892900000001}, 'viewport': {'northeast': {'lat': 52.05082793029149, 'lng': 4.258917730291502}, 'southwest': {'lat': 52.04812996970849, 'lng': 4.256219769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113668149328032449750"">FANI AUTO&#39;S Garage</a>'], 'photo_reference': 'AeJbb3f77pNEdMJU783zCTQ6-kmmxZZohUz0ZEb9cOhtYBGsd4swfFVVK1FaEDDWmNSKAAv-JkG-rzncNFKXkVV_tvd-0YJ5EbtH3kviqBNA1br5_uFXs2XLDhXVir7LUarz6TePEst06sOuQFUZd0F3eGCNH2tjQCqyiHwh95h5qEckwC6A', 'width': 1024}]",FANI AUTO'S Garage,Null,Null,Null,Null,Null,Null,"['Duur komt afspraken niet naVraagt voor diagnose de hoofdprijs kan net zo goed naar de dealer en vervolgens niet opgelost', 'Professionally and quickly appointments are made I am very satisfied with this garage owner', 'Friendly reliable fast professional I am very satisfied with this garage And the garage owner is a true professional who stands by his work and for his customers', 'Garage owner is very skilled and fast knows how to put together the right prognosis so that you are quickly mobile again with a satisfied feeling His customers can reach him day and night', 'Super friendly and everything just as well and quickly arranged Service down to the last detail Thank you Fani']",4,1,['Low Price Car Service'],Yes,Yes,No,No,Yes
123,has car center,ast holland b.v.,0.2,kerketuinenweg 12,Stolwijkstraat 99 ,0.171428571,070 347 5595,010-4971000,0,0.123809524,"Kerketuinenweg 12, 2544 CW Den Haag, Netherlands",ChIJVVWFVBOxxUcRiEzeEvLbvkY,"{'compound_code': '3724+8W The Hague, Netherlands', 'global_code': '9F463724+8W'}",3.9,ChIJVVWFVBOxxUcRiEzeEvLbvkY,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",41,OPERATIONAL,"{'location': {'lat': 52.050846, 'lng': 4.2573184}, 'viewport': {'northeast': {'lat': 52.0522707802915, 'lng': 4.258577280291503}, 'southwest': {'lat': 52.0495728197085, 'lng': 4.255879319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 962, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111992026613868175962"">Has Car Center</a>'], 'photo_reference': 'AeJbb3dApUc0MBaVluXRHYWBQ6VNNJ2gVCb9rYc2ih8gltTHWT_8AObauVSTYCOBM6cMMvSEZZ17ofwMQsrB6fvV52KS53sDXj2EOtLWRcyRHhWCrxxMKfmZlTbf1bvbSbElZK7X7bc_uuxqXLvGhy4el5D34LEvDQmk06NOnyy_VCIvz6Fl', 'width': 1920}]",Has Car Center,HAS Car Center,HAS Car Center v.o.f.,75220210,43108768,Kerketuinenweg 12 2544CW s-Gravenhage,75220210 0000 000043108768 HAS  Car  Center  HAS  Car  Center v.o.f. Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Vennootschap ...,"['I had my tires installed at Has and received a good and professional service relatively quick appointment next day and job done well', 'Top service in their tire departmenthelped quickly', 'Bought a Renault Clio last month Nice seller who helped me a lot Afterwards it turned out that 2 doors could not lock Was resolved fine despite the fact that I had no warranty on the purchaseVery happy with the purchased car', 'Truly professional tire service Thank you', 'Purchased car from this company and clearly asked whether a particular part had already been replaced Received the answer from the seller booklet is no longer included but we have done the check for you The part has been replaced Now afterwards this turns out not to be the case The part has not been replaced If you then contact the garage to ask if they can accommodate this the answer is downright NO The attitude of the helpful and serviceoriented seller has been completely reversed No compensation possible and no room for negotiation in it Conclusion a very bad company that sells cars under false pretenses and thus leads the buyer astray']",2,3,Null,Yes,No,No,Yes,Yes
124,gvb autoparts & security,b&b auto's veen,0.461538462,"144, apeldoornselaan den",Hoefakker 8 ,0.222222222,070 345 8513,0416-697808,0,0.227920228,"144, Apeldoornselaan Den, 2573 LS Den Haag, Netherlands",ChIJ-ypW_yixxUcRTLwDkPkLakw,"{'compound_code': '379M+94 The Hague, Netherlands', 'global_code': '9F46379M+94'}",4.7,ChIJ-ypW_yixxUcRTLwDkPkLakw,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",170,OPERATIONAL,"{'location': {'lat': 52.068444, 'lng': 4.28285}, 'viewport': {'northeast': {'lat': 52.06984323029149, 'lng': 4.284254030291502}, 'southwest': {'lat': 52.0671452697085, 'lng': 4.281556069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,{'open_now': False},Null,Null,"[{'height': 1002, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104313648078008635672"">Stylus Design</a>'], 'photo_reference': 'AeJbb3f-p0ypuzWXq4QcbVsMur7Du1v_suuH9YsYFCarn28RAq1msAzfPEA7ZYpoEY3ruMtyNHcbyH6W1fOtlGWqu_gbg2znlFw13a38Ed6ZWIJjHhrf_VKwLyxyKjED7ZPrdiPCpd1jKW-DmkCvfrfEVHecIkJ_-6nLprVdggk-kdB7pOZ3', 'width': 1125}]",GVB Autoparts & Security,G.V.B. Auto-Parts en Security | Selca Nederland | Autopartsexperts,Null,65941365,13709801,Apeldoornselaan 144 2573LS s-Gravenhage,65941365 0000 000013709801 G.V.B . Auto-Parts en Security Detailhandel in auto-onderdelen en -accessoires www.gvbautoparts.nl Eenmanszaak Groot- en kleinhandel import in ...,"['Nice place Very friendly service Respect to the personal', 'Absolutely amazing oldfashioned service Actually fixing the remote on the key the old fashioned way instead of stock answer from others that a new key had to be ordered Spending time to make sure it works Very knowledgeable about all types of cars and car systems Repairing instead of ordering new parts A pleasure to spend time there ', 'GVB store has the most for cars boat motorcycle Great service and very capable people', 'The best in town They help me a lot about wiring my camper and gave me what I needed for do it Aardige personen', 'whorst staff that i meet everonly answer he have was go to the delearRun from thisstore']",4,1,Null,Yes,No,No,Yes,Yes
125,escamp service,camper service delft,0.705882353,43 cilliersstraat,Lagosweg 61 ,0.068965517,070 364 0532,015-7600010,0,0.258282623,"Cilliersstraat 43, 2572 AS Den Haag, Netherlands",ChIJT3vApSuxxUcRrR1c7GCzlmM,"{'compound_code': '379Q+2J The Hague, Netherlands', 'global_code': '9F46379Q+2J'}",5,ChIJT3vApSuxxUcRrR1c7GCzlmM,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",4,OPERATIONAL,"{'location': {'lat': 52.0675039, 'lng': 4.2891185}, 'viewport': {'northeast': {'lat': 52.0690071302915, 'lng': 4.290485380291503}, 'southwest': {'lat': 52.0663091697085, 'lng': 4.287787419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Null,Null,Null,Null,Escamp Service,Escamp Service,Null,27137351,7726309,Cilliersstraat 43 2572AS s-Gravenhage,27137351 0000 000007726309 Escamp  Service Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Eenmanszaak Garagebedrijf,['Before'],1,0,Null,Yes,No,No,Yes,Yes
126,garage company r a smit,garage r.a. smit,0.666666667,vlasakkersstraat 31,Vlasakkersstraat 31 ,0.923076923,070 363 5217,703635217,1,0.863247863,"Vlasakkersstraat 31, 2574 SB Den Haag, Netherlands",ChIJv2pkfiWxxUcR6_s_t2pT794,"{'compound_code': '377H+6J The Hague, Netherlands', 'global_code': '9F46377H+6J'}",4.8,ChIJv2pkfiWxxUcR6_s_t2pT794,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",59,OPERATIONAL,"{'location': {'lat': 52.0630404, 'lng': 4.2790139}, 'viewport': {'northeast': {'lat': 52.0643513302915, 'lng': 4.280386680291502}, 'southwest': {'lat': 52.0616533697085, 'lng': 4.277688719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 1702, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109004184329423770630"">Garagebedrijf R A Smit</a>'], 'photo_reference': 'AeJbb3d6yLkYcXR-7dTSUkxF35yLKjyAxSHN2ml1s8eFbyqz73YjG1qKzeGlyNK9oxt3gck9k6RG3uch-IFOEw6ihq25fBWIccnE8rAHPRh8IRYx0RpONlW6m89zICUPNGezdpPwzRvC6wbTiyhj47jaH4zHzf5xbKzYN4ncWy3FXUqY2e2a', 'width': 3024}]",Garagebedrijf R A Smit,Null,Null,Null,Null,Null,Null,"['Top ', 'Super service', 'Nice garage friendly mechanics who are honest After a service or repair they show the replaced parts I am very happy that I switched from the dealer garage to this garage It also saves a lot of money', 'More than satisfied Still with the oldfashioned and correct attitude to deliver good work at an affordable price', 'Loose heat shield super made didnt have to pay anything Where else do you find that Always reliable and honest']",5,0,Null,Yes,No,Yes,No,Yes
127,garage veldhuis,eda de heus b.v.,0.387096774,vierhoutenstraat 3,Harnaschdreef 9 ,0.176470588,070 406 1950,015-2618181,0,0.187855787,"Vierhoutenstraat 3, 2573 VM Den Haag, Netherlands",ChIJHT7g3S2xxUcRKNbsSkfMu_E,"{'compound_code': '376P+P8 The Hague, Netherlands', 'global_code': '9F46376P+P8'}",4.6,ChIJHT7g3S2xxUcRKNbsSkfMu_E,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",31,OPERATIONAL,"{'location': {'lat': 52.0618273, 'lng': 4.285824}, 'viewport': {'northeast': {'lat': 52.0631990802915, 'lng': 4.287231530291503}, 'southwest': {'lat': 52.0605011197085, 'lng': 4.284533569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Null,Null,Null,Null,Garage Veldhuis,Garage Veldhuis,Null,57510741,26947366,Vierhoutenstraat 3 2573VM s-Gravenhage De Factorij 43 1689AK Zwaag Cantekoogweg 21 1442LG Purmerend Nevenvestiging,57510741 0000 000026947366 Garage  Veldhuis Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Eenmanszaak Uitoefenen van een ... 36024432 0000 000019247524 garage  Veldhuis Zonwering Rolluiken B.V. Winkels gespecialiseerd in overige artikelen (rest) Groothandel in overige consumentenartikelen ... 36024432 0002 000019247540 garage  Veldhuis Zonwering Rolluiken B.V. Winkels gespecialiseerd in overige artikelen (rest) Besloten vennootschap met gewone structuur ...,"['Very friendly garage in Zuiderpark areagood service', 'Expensive but nice people', 'Very good and fast service friendly staff My clutch had suddenly broken and 1 day later early afternoon my car was in good condition again', 'Okay good thing', 'Good and friendly service']",5,0,Null,Yes,No,No,Yes,Yes
128,benelux autoparts,mwm benelux b.v.,0.484848485,market road 394,Soerweg 13 ,0.230769231,070 445 0903,102992666,0,0.238539239,"Marktweg 394, 2525 JR Den Haag, Netherlands",ChIJCegShM22xUcRN8jyQZjDV1M,"{'compound_code': '375V+QX The Hague, Netherlands', 'global_code': '9F46375V+QX'}",4.5,ChIJCegShM22xUcRN8jyQZjDV1M,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",17,OPERATIONAL,"{'location': {'lat': 52.0593912, 'lng': 4.2949839}, 'viewport': {'northeast': {'lat': 52.0607047802915, 'lng': 4.296159480291502}, 'southwest': {'lat': 52.0580068197085, 'lng': 4.293461519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,{'open_now': True},Null,Null,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108860774793966635256"">Benelux Autoparts</a>'], 'photo_reference': 'AeJbb3f0DtgEDfY5pfN3VJczCIM_nhE5YPQ3ivdEriN5u9Cin8Hq8WZYnKftFx3GD8rsG132ecYc4mUrGqe4_dS2i2ICtaT0bjNdIeb4mRKLqmdyCGRMSjL0C6JbvcT8OuF9tt1ViTS6PgMoM5lktS-Fv_4CEUJkH1HQvgRMfxXbxXaWWR_Z', 'width': 3264}]",Benelux Autoparts,Millford Autoparts Benelux,Null,27189861,15329208,Clavecimbellaan 293 2287VL Rijswijk Kuppersweg 73 2031EB Haarlem Marktweg 394 2525JR s-Gravenhage,27189861 0000 000015329208 Millford Autoparts  Benelux Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden) www.millfordbenelux.nl Eenmanszaak ... 60776358 0000 000029939720 Radex- Benelux Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden) www.radex- benelux .eu Eenmanszaak Im- en export ... 77000625 0000 000044728948 Beneluxautoparts Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden) www. benelux.autoparts .be Buitenl. EG-venn. met ...,"['Deze gasten zijn topVriendelijk en helpen je vakkundigMijn zij sierlijst van een opel vivaro was kapotBinnen 1 dag was het binnenKwaliteit en niet duurAls er meer sterren  waren had ik er meer gegevenGroetjesThanks jongens', 'I had damage to the front of a Mercedes sprinter immediately professional help for a very decent price Recommended Thank you', 'Called at 1130 am for a spring plate for an Opel Vectra just in stock in Belgium but delivered at 3 pm in Rijswijk So fast cheap and large stock That is Service with a capital letter', 'Good service Sharp prices always get all my body and lighting parts here', 'Highly recommended the owner is serious']",3,2,Null,Yes,No,No,Yes,Yes
129,apk haaglanden,wildeboer haaglanden car damage specialist,0.392857143,uitenhagestraat 78,Het Ambacht 5 ,0.1875,06 34567894,105917653,0,0.193452381,"Uitenhagestraat 78, 2571 PV Den Haag, Netherlands",ChIJ5WwQuyqxxUcRcXH8MS6pqn8,"{'compound_code': '37CR+2X The Hague, Netherlands', 'global_code': '9F4637CR+2X'}",4.5,ChIJ5WwQuyqxxUcRcXH8MS6pqn8,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",27,OPERATIONAL,"{'location': {'lat': 52.0700994, 'lng': 4.2924527}, 'viewport': {'northeast': {'lat': 52.0715045802915, 'lng': 4.293747630291502}, 'southwest': {'lat': 52.0688066197085, 'lng': 4.291049669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113499216172855858898"">Sandhya Manniesing</a>'], 'photo_reference': 'AeJbb3eU0shQZcNIUGS-QyoQOTT8I9_CD6nbERFT_F5iNm5cN1Muflh-eafPWDlLbn-Xjwn_4Q9LyapJicIQdM5nch9Os8VniGfpYvzxCVeVUrdpq4SAwCYTRAyWgxtneIUDrE8RO_PLcBC2UOHaA4gPEs9AidhxDf3zod68MDXROFbQGhCC', 'width': 3120}]",apk haaglanden,APK Haaglanden | APK Service Haaglanden,Null,66633176,35237872,Uitenhagestraat 78 2571PV s-Gravenhage Smaragdhorst 266 2592RW s-Gravenhage,66633176 0000 000035237872 APK  Haaglanden Organisatie-adviesbureaus Eenmanszaak Adviesbureau voor de automobiel branche en mede in het kader van apk (RDW). 27160149 0000 000001687263 Vesely Autotechniek Haaglanden Adviesbureau voor de automobiel branche en mede in het kader van de APK (RDW) mogelijke reparaties worden elders ...,"['Super friendly men service perfect', 'Reliable Customer Friendly and Top Service', 'I paid 60 euros for the MOT I asked for an invoice I heard from him that he could issue an invoice for 25 euros otherwise high tax crook', 'Speed and efficiency In short great service', 'Car approved and quickly Delicious coffee and very friendly service']",4,1,Null,Yes,No,No,Yes,Yes
130,dieselservice mulder,koedood dieselservice b.v.,0.608695652,uitenhagestraat 18,Frankepad 1 ,0.333333333,070 365 8434,786813127,0,0.314009662,"Uitenhagestraat 18, 2571 VV Den Haag, Netherlands",ChIJMaqqnyqxxUcRbijkx974-Hc,"{'compound_code': '37CR+7J The Hague, Netherlands', 'global_code': '9F4637CR+7J'}",4.1,ChIJMaqqnyqxxUcRbijkx974-Hc,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",34,OPERATIONAL,"{'location': {'lat': 52.070633, 'lng': 4.291507999999999}, 'viewport': {'northeast': {'lat': 52.07193773029149, 'lng': 4.292901180291501}, 'southwest': {'lat': 52.0692397697085, 'lng': 4.290203219708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103191764585368605061"">Willem Van der Geest</a>'], 'photo_reference': 'AeJbb3dNLYWZKEovdy_T0oqBRZtG5MxFbMNLwNNMQxxTtrH6WQ_1PSdHPNgJqdlldegovxtvFXl9crQSLHEDJXKI1A2XlLr4pLiWS0VRSeICpIW9uWYuD3i61Fifctl0lKKRsqZ33zLTn4Sj9eryZ8f-6e2gvo4tbeiF7VjJK8UV83eZK7U3', 'width': 3264}]",dieselservice Mulder,Dieselservice Mulder,Null,74026283,1457748,Uitenhagestraat 18 2571VV s-Gravenhage,74026283 0000 000001457748 Dieselservice  Mulder Overige gespecialiseerde reparatie en slepen van autos www.mulderdiesel.nl Eenmanszaak Het repareren van ...,"['Ok', 'Great service Very professional', 'Nice people and it looked clean', 'Experience speaks for itself go by Ill say', 'great company very good service']",4,1,Null,Yes,No,No,Yes,Yes
131,o & a garage,koedood dieselservice b.v.,0.608695652,107 uitenhagestraat,Frankepad 1 ,0.333333333,070 364 7722,786813127,0,0.314009662,"Uitenhagestraat 107, 2571 PW Den Haag, Netherlands",ChIJb0EkuyqxxUcR-6siyicUlic,"{'compound_code': '37CR+HM The Hague, Netherlands', 'global_code': '9F4637CR+HM'}",4.9,ChIJb0EkuyqxxUcR-6siyicUlic,GOOGLE,"['car_repair', 'car_dealer', 'store', 'point_of_interest', 'establishment']",70,OPERATIONAL,"{'location': {'lat': 52.0714491, 'lng': 4.2916913}, 'viewport': {'northeast': {'lat': 52.0727505802915, 'lng': 4.293041680291503}, 'southwest': {'lat': 52.0700526197085, 'lng': 4.290343719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105322433605402871012"">Silvia Jongeneel</a>'], 'photo_reference': 'AeJbb3cPOi12tJtWsRLKDZGeFTaiq_3Qng3qeJycIqnLTp4FcKc7K3b8RKYP8upLuN3QKLb9I6LPGQ5C-bxwTH8EG2kDXUKRi5yNGyO8GKcNdqZSHk6BkGAAAOsLLpHdALt4oa_nu8MeCDKtsqP9dCQH05onNE9pqLs1UTKBC4BS6MFw7c5L', 'width': 3096}]",O & A Garage,Null,Null,Null,Null,Null,Null,"['Very nice people and qualified car mechanics can fix your car much cheaper than official garages', 'Top service', 'Top service', 'Clever cleaners', 'Good']",5,0,Null,Yes,No,No,No,Yes
132,gamesa auto parts,hamaparts,0.615384615,paul krugerla 91,Spoorsingel 37 ,0.387096774,070 345 3700,010-4511493,0,0.334160463,"Paul Krugerlaan 91, 2571 HC Den Haag, Netherlands",ChIJv2eWOtawxUcR4i-PEWyWiRc,"{'compound_code': '379P+VV The Hague, Netherlands', 'global_code': '9F46379P+VV'}",4.2,ChIJv2eWOtawxUcR4i-PEWyWiRc,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",66,OPERATIONAL,"{'location': {'lat': 52.06963990000001, 'lng': 4.2871423}, 'viewport': {'northeast': {'lat': 52.0710521802915, 'lng': 4.288557230291501}, 'southwest': {'lat': 52.0683542197085, 'lng': 4.285859269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,{'open_now': True},Null,Null,Null,Gamesa Automaterialen,"""Gamesa"" Automaterialen",Null,27136802,16416430,Paul Krugerlaan 91 2571HC s-Gravenhage Nevenvestiging Siriusdreef 19 2132WT Hoofddorp Beechavenue 68 1119PW Schiphol-Rijk Giessenweg 41 3044AK Rotterdam Nevenvestiging,27136802 0001 000016416430 automaterialen  Gamesa  Automaterialen  Gamesa B.V. Detailhandel in auto-onderdelen en -accessoires Besloten vennootschap met gewone structuur ... 64409031 0000 000033235821 automaterialen  GAMESA ROTTERDAM GAMESA ROTTERDAM B.V. Detailhandel in auto-onderdelen en -accessoires Groothandel en handelsbemiddeling in ... 74901877 0000 000042819644 automaterialen . Gamco B.V. Gamesa Automotive Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden) Besloten ... 74901877 0001 000042819652 automaterialen . Gamco B.V. Gamesa Automotive Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden) Besloten ...,"['perfect', 'Helpful  friendly and fair pricing', 'Best ever', 'Top service', 'Top']",5,0,Null,Yes,No,No,Yes,Yes
